iter	MultiClass
0	1.700391964
1	1.59963094
2	1.518233966
3	1.469108265
4	1.403943672
5	1.345976673
6	1.296732876
7	1.234028574
8	1.197714784
9	1.169210998
10	1.137255003
11	1.112338351
12	1.074707431
13	1.044027711
14	1.016817329
15	0.9927271707
16	0.9670742113
17	0.9509032138
18	0.9222083617
19	0.899288448
20	0.880217152
21	0.8652082084
22	0.8497305225
23	0.8283741436
24	0.8060617627
25	0.7911489911
26	0.7792276297
27	0.7602041494
28	0.7454493073
29	0.7332725915
30	0.7201720013
31	0.7074711129
32	0.6957261181
33	0.6830573182
34	0.6737909111
35	0.6605275085
36	0.6537679323
37	0.6453186046
38	0.6352130713
39	0.625499415
40	0.6157034425
41	0.6063943826
42	0.5989785091
43	0.5897999409
44	0.5825136319
45	0.5737077371
46	0.5669756955
47	0.5587379445
48	0.5524158544
49	0.5460020637
50	0.5375691603
51	0.53217646
52	0.5256532281
53	0.5185178832
54	0.5130286736
55	0.5059655456
56	0.5004657539
57	0.4937886846
58	0.4872818633
59	0.4824888296
60	0.4764284636
61	0.4719582588
62	0.4658578699
63	0.4596327313
64	0.4541324074
65	0.4494335109
66	0.4453216512
67	0.4400045258
68	0.4345760989
69	0.4295717626
70	0.4247973971
71	0.4193684791
72	0.4150626322
73	0.408324852
74	0.4027462402
75	0.3972292539
76	0.3925469693
77	0.3889810153
78	0.3826403686
79	0.3785469346
80	0.3747880474
81	0.3699312426
82	0.3656408043
83	0.363499961
84	0.3597022151
85	0.3560633402
86	0.3526268319
87	0.3483472033
88	0.3447618325
89	0.3401918473
90	0.3362601175
91	0.3333266551
92	0.3294377968
93	0.3264281529
94	0.3229525845
95	0.3191535823
96	0.3159769894
97	0.3127261831
98	0.3101597966
99	0.3067694002
100	0.3034992709
101	0.3002415235
102	0.2974587133
103	0.294653613
104	0.2915516065
105	0.2878781558
106	0.2860356235
107	0.283378953
108	0.2802373549
109	0.2780020357
110	0.2748177257
111	0.2722271388
112	0.2686933799
113	0.2660600471
114	0.2638305602
115	0.2609459767
116	0.2580750695
117	0.255114515
118	0.2528174439
119	0.250335816
120	0.2478644938
121	0.2446426349
122	0.2430011613
123	0.2404910058
124	0.2387463812
125	0.2369418625
126	0.2349282292
127	0.2323140023
128	0.2302614983
129	0.2288940121
130	0.2263015028
131	0.2247258892
132	0.2231154294
133	0.2215907013
134	0.2200480708
135	0.2182967121
136	0.2158394332
137	0.2140418934
138	0.2123637061
139	0.2101134632
140	0.2086293318
141	0.206620568
142	0.2050708929
143	0.2031674554
144	0.201743796
145	0.2000584139
146	0.1984611763
147	0.1968380744
148	0.1955801582
149	0.1942015829
150	0.1926732918
151	0.1912026615
152	0.1897115593
153	0.1882179908
154	0.186667627
155	0.1851421926
156	0.183985755
157	0.1827592842
158	0.1815756106
159	0.1803250129
160	0.1786387922
161	0.1767204756
162	0.1751136644
163	0.1733845231
164	0.1718977319
165	0.1705431805
166	0.169562816
167	0.1684862159
168	0.1674884295
169	0.1658518893
170	0.1642485667
171	0.1631133031
172	0.1615672857
173	0.1609852251
174	0.1596552532
175	0.1586311854
176	0.157781983
177	0.1568443635
178	0.1556629196
179	0.1548471872
180	0.1536798742
181	0.1529354514
182	0.1519724861
183	0.1508110763
184	0.1491739171
185	0.1484640962
186	0.14761209
187	0.1463140755
188	0.1457570693
189	0.1450187585
190	0.1439817532
191	0.1430868313
192	0.1421930427
193	0.1414261266
194	0.140643486
195	0.1400369456
196	0.1389966068
197	0.1382733006
198	0.1373043711
199	0.136856474
200	0.1359236554
201	0.1353902318
202	0.1347664444
203	0.1338911215
204	0.1330905863
205	0.1322065234
206	0.1318102822
207	0.1309857279
208	0.1299988055
209	0.1297422927
210	0.1286682915
211	0.127733337
212	0.126789216
213	0.1258376618
214	0.1249685223
215	0.1239548177
216	0.1233496628
217	0.1228515249
218	0.1220746221
219	0.1214550953
220	0.1207901092
221	0.1205540081
222	0.1199315591
223	0.1194526239
224	0.1186254132
225	0.1180219135
226	0.1174208675
227	0.1165852634
228	0.1162589243
229	0.115389605
230	0.1150833244
231	0.1143061495
232	0.113458651
233	0.1128923918
234	0.1125642251
235	0.1120795942
236	0.1116554165
237	0.1111423733
238	0.1102833419
239	0.1096995168
240	0.1093021427
241	0.1086372829
242	0.1081638546
243	0.1079139387
244	0.1073112652
245	0.1066188928
246	0.1060057363
247	0.1055841373
248	0.1050624902
249	0.1044650673
250	0.1040234104
251	0.1037451184
252	0.1034925574
253	0.1028636387
254	0.1023522459
255	0.1017192789
256	0.1012863961
257	0.1003411425
258	0.09982043992
259	0.09944232642
260	0.09882373646
261	0.09837608924
262	0.0976509285
263	0.09705484303
264	0.09653393637
265	0.0958976195
266	0.09542765367
267	0.09485676696
268	0.0944442195
269	0.09389416365
270	0.09372864424
271	0.09328892032
272	0.0928455423
273	0.0922725877
274	0.09178875919
275	0.09169177368
276	0.09112225696
277	0.0907460396
278	0.09030885196
279	0.08989956568
280	0.08961328808
281	0.08944870346
282	0.08896875746
283	0.08848533817
284	0.0881603725
285	0.08774261171
286	0.08751892792
287	0.08715928416
288	0.08679006082
289	0.08632425072
290	0.08604893171
291	0.0857481341
292	0.08539688363
293	0.08506231176
294	0.08464557951
295	0.08427265046
296	0.08390492404
297	0.08365912494
298	0.08308997669
299	0.08271618439
300	0.08243020212
301	0.08219066006
302	0.08192337303
303	0.0816072511
304	0.08113243881
305	0.08060679509
306	0.08033312223
307	0.0799028712
308	0.07961475898
309	0.07934017909
310	0.07901253371
311	0.07869515845
312	0.07832877056
313	0.07801443802
314	0.0777517043
315	0.07747950449
316	0.0772582032
317	0.07714900111
318	0.07690284257
319	0.07672132189
320	0.07636039538
321	0.07607506602
322	0.07565604747
323	0.07535243116
324	0.07506241741
325	0.07479124445
326	0.07438631826
327	0.07413452312
328	0.07385801504
329	0.07357713869
330	0.07319483887
331	0.07286858453
332	0.07257754678
333	0.07222745042
334	0.07190608516
335	0.07165164532
336	0.07137963638
337	0.07105766125
338	0.07074476289
339	0.07045997572
340	0.07001977631
341	0.06987189296
342	0.06957898067
343	0.06935322152
344	0.06915147369
345	0.06893577859
346	0.06874944469
347	0.06851004237
348	0.06826305881
349	0.06799957513
350	0.06773258208
351	0.06741820171
352	0.06719974901
353	0.0668348332
354	0.06658374622
355	0.06630902175
356	0.06608221333
357	0.06576318035
358	0.06550051241
359	0.06518711581
360	0.06501238087
361	0.0648068154
362	0.06460158905
363	0.06439068669
364	0.06419088348
365	0.06391469467
366	0.06371133315
367	0.06352101635
368	0.06337092636
369	0.06314571813
370	0.0628861402
371	0.06278347425
372	0.06252720161
373	0.06231241306
374	0.06210776803
375	0.06187308862
376	0.0616978682
377	0.06147804732
378	0.06128479442
379	0.06098735097
380	0.06079386583
381	0.06058053332
382	0.06039565876
383	0.06014074765
384	0.05991337457
385	0.05975979599
386	0.05957286717
387	0.05930154313
388	0.05912660753
389	0.0588905639
390	0.05856825205
391	0.05827190387
392	0.05799713099
393	0.05775224519
394	0.05760818457
395	0.05736333318
396	0.05719974883
397	0.05695724556
398	0.05676249443
399	0.05659730815
400	0.05637710396
401	0.05612187464
402	0.05595111558
403	0.05575345865
404	0.0556035589
405	0.05532829762
406	0.05509402357
407	0.05487295079
408	0.05472017037
409	0.05454278863
410	0.05440624725
411	0.05418251129
412	0.05398561253
413	0.05385624869
414	0.05372257115
415	0.05355217069
416	0.05335229105
417	0.05327766386
418	0.05302526399
419	0.05279194861
420	0.05260654326
421	0.05250798129
422	0.05241202051
423	0.05228688859
424	0.05220261074
425	0.05199970118
426	0.05183282557
427	0.05168310178
428	0.05154722892
429	0.05142359569
430	0.05127890729
431	0.05117695669
432	0.05105789046
433	0.05084495102
434	0.05068428678
435	0.05053873609
436	0.05037687257
437	0.05021854691
438	0.05008199609
439	0.04988446606
440	0.04976728446
441	0.04954340445
442	0.04938440378
443	0.04919506267
444	0.04905673393
445	0.04887844137
446	0.04877555906
447	0.04869244013
448	0.04851291175
449	0.04836454138
450	0.0482331599
451	0.04810020957
452	0.04798973968
453	0.04793348656
454	0.04778382153
455	0.0476497442
456	0.04755736543
457	0.04743388115
458	0.04728025804
459	0.04710957795
460	0.04696387254
461	0.04681953847
462	0.04668022469
463	0.04656847426
464	0.04642351479
465	0.04625997183
466	0.04612370559
467	0.04602773052
468	0.04590237692
469	0.04575064721
470	0.04563541945
471	0.04543880882
472	0.04532225061
473	0.04512369348
474	0.04501985083
475	0.04492037662
476	0.04477252948
477	0.04468187428
478	0.04459348687
479	0.04449016468
480	0.04436494722
481	0.04430260707
482	0.04413781763
483	0.04402730431
484	0.04389369272
485	0.04373782627
486	0.04365922222
487	0.04352771994
488	0.04339409707
489	0.04326752381
490	0.04315465705
491	0.04303860589
492	0.04289339573
493	0.04281078777
494	0.04272548421
495	0.04261852104
496	0.04251960495
497	0.04247074918
498	0.0423476493
499	0.0422143974
500	0.04213145811
501	0.04205889212
502	0.04198294334
503	0.04188158587
504	0.0417979281
505	0.04167503087
506	0.04163423549
507	0.04153031673
508	0.04143630949
509	0.04133136205
510	0.04118429938
511	0.04109180192
512	0.04098871741
513	0.04090389756
514	0.04078661062
515	0.04070837869
516	0.04055125443
517	0.04047267291
518	0.04036876026
519	0.04021010887
520	0.04012096516
521	0.0400154595
522	0.03988395659
523	0.03983000354
524	0.03972812532
525	0.0396633315
526	0.03959404305
527	0.03948746413
528	0.03937327524
529	0.03926277075
530	0.03916893974
531	0.03909743305
532	0.03901337083
533	0.03898476784
534	0.0388582949
535	0.03877241422
536	0.03869696231
537	0.03857595628
538	0.03848695495
539	0.03835487803
540	0.03827756696
541	0.03815666642
542	0.03803762113
543	0.03797385185
544	0.03786427388
545	0.0377720998
546	0.03763243746
547	0.03758766864
548	0.03744818936
549	0.03735180669
550	0.03725893284
551	0.03720045765
552	0.03711014243
553	0.03699810767
554	0.03688651505
555	0.0367761284
556	0.03669702305
557	0.0366193637
558	0.03656560568
559	0.03647712313
560	0.03640706881
561	0.03632823218
562	0.03624383563
563	0.03618506064
564	0.0361327528
565	0.03604899038
566	0.03597848848
567	0.03590011168
568	0.03588398437
569	0.03579962272
570	0.03572148606
571	0.03564948753
572	0.03552902035
573	0.03543048228
574	0.03536095559
575	0.03527775649
576	0.03520485868
577	0.03513647464
578	0.03507790454
579	0.03498920772
580	0.0348939072
581	0.0347998004
582	0.03472580948
583	0.03466471391
584	0.03463191173
585	0.03451657752
586	0.03439293593
587	0.03430201073
588	0.03420568567
589	0.03413101076
590	0.03402743849
591	0.03395773689
592	0.03389091208
593	0.03383505535
594	0.03375972132
595	0.03365247589
596	0.03360229972
597	0.03353116664
598	0.03341101481
599	0.03331311277
600	0.0332483659
601	0.03314456715
602	0.0330642615
603	0.03298308816
604	0.03293726984
605	0.0328960292
606	0.03283502773
607	0.03273532037
608	0.03267505275
609	0.03260489202
610	0.03254750794
611	0.03250179971
612	0.03240868465
613	0.03233461024
614	0.03227628329
615	0.03221439121
616	0.03214859408
617	0.0321164034
618	0.03204559228
619	0.03196427328
620	0.03189889789
621	0.0318708738
622	0.03180186615
623	0.03173734874
624	0.03160696876
625	0.03154026816
626	0.03150389288
627	0.03141265065
628	0.03138652093
629	0.03132409683
630	0.03126061946
631	0.03120480403
632	0.0311508427
633	0.03106959905
634	0.0309844242
635	0.03092427477
636	0.03089625712
637	0.03080298443
638	0.03074723193
639	0.03069132842
640	0.03063864266
641	0.03054545342
642	0.03047790251
643	0.03040505367
644	0.03033507088
645	0.03027587393
646	0.0301863316
647	0.03015614468
648	0.03011809569
649	0.03004303385
650	0.03001293529
651	0.02996163882
652	0.02992349226
653	0.02984671065
654	0.02977716585
655	0.02971749771
656	0.02965250433
657	0.02958230336
658	0.02954646831
659	0.02946864572
660	0.02939536698
661	0.02934889892
662	0.02926200732
663	0.02919784734
664	0.02915593923
665	0.02910822689
666	0.02905900376
667	0.02900572135
668	0.02894463506
669	0.02889029239
670	0.02882460736
671	0.02878148088
672	0.02872047101
673	0.02866036427
674	0.02862051612
675	0.02855452335
676	0.02849875109
677	0.02842305802
678	0.02839166481
679	0.02834280249
680	0.02828555999
681	0.02822092715
682	0.02816916522
683	0.02812460877
684	0.02806207473
685	0.02798029966
686	0.02793034942
687	0.02786588001
688	0.02780632231
689	0.02775487432
690	0.02767526606
691	0.02763226749
692	0.02759767203
693	0.02755571447
694	0.02751710956
695	0.02746116916
696	0.02741474601
697	0.0273645311
698	0.02732013092
699	0.02728279035
700	0.02723634695
701	0.02717311844
702	0.02713244106
703	0.02711727038
704	0.02704944533
705	0.02701516592
706	0.02696749241
707	0.02691915972
708	0.02686605619
709	0.02681656098
710	0.02677683744
711	0.02672098094
712	0.02666902499
713	0.0266312771
714	0.02656866093
715	0.02652079229
716	0.02645891618
717	0.02638705606
718	0.02634776611
719	0.02629411567
720	0.02624352749
721	0.02620721577
722	0.0261586906
723	0.02609651674
724	0.02604699428
725	0.02601171355
726	0.02597330179
727	0.02593733989
728	0.02587104949
729	0.02582741493
730	0.02579190022
731	0.02575070785
732	0.02570335706
733	0.02565167933
734	0.02560497619
735	0.02556092787
736	0.0255059374
737	0.02548269961
738	0.02543035672
739	0.02537686812
740	0.02532720369
741	0.02526182826
742	0.0252155944
743	0.02517726315
744	0.02515012789
745	0.025113506
746	0.02505594885
747	0.02501784333
748	0.02498743727
749	0.02495459641
750	0.02490400396
751	0.0248533692
752	0.02480687336
753	0.02475269164
754	0.024718814
755	0.02467018671
756	0.02462655871
757	0.02457851633
758	0.02454336589
759	0.02451066345
760	0.02448109908
761	0.02446569481
762	0.02441915279
763	0.02439444772
764	0.02435718353
765	0.02432012713
766	0.02428437452
767	0.02424886659
768	0.02420933415
769	0.02416422371
770	0.02413195437
771	0.02409480767
772	0.02405485567
773	0.02402268347
774	0.02398261803
775	0.02392467822
776	0.02389224276
777	0.02385472065
778	0.02381638267
779	0.02377253054
780	0.02370950625
781	0.02366081136
782	0.0236096001
783	0.02356098627
784	0.02351852963
785	0.02348251459
786	0.02345435086
787	0.02342411699
788	0.02339278489
789	0.02336758
790	0.02332808818
791	0.02328265732
792	0.02321819283
793	0.02318244197
794	0.0231442201
795	0.0231256792
796	0.02309564812
797	0.02304647657
798	0.02300834525
799	0.02297201999
800	0.02294365703
801	0.02290255146
802	0.02287803405
803	0.02284411884
804	0.02280906624
805	0.02278713778
806	0.02275698469
807	0.02272238909
808	0.02268773095
809	0.0226527629
810	0.02260195318
811	0.02258444632
812	0.02255909232
813	0.0225404946
814	0.02248691377
815	0.02243993944
816	0.0224189881
817	0.02238091461
818	0.02235711078
819	0.02231481419
820	0.02228526898
821	0.02225209243
822	0.02220881072
823	0.02217700861
824	0.02211841447
825	0.02209031732
826	0.02205764086
827	0.02200125545
828	0.02198271754
829	0.02193764552
830	0.02189389787
831	0.02186910417
832	0.02185020783
833	0.02182866711
834	0.02180414257
835	0.02177876433
836	0.02175691722
837	0.02174611522
838	0.02172238273
839	0.02168886518
840	0.02164898613
841	0.02161576094
842	0.02157806634
843	0.02154073957
844	0.02150526005
845	0.02147313706
846	0.02144281708
847	0.02141047927
848	0.02135836555
849	0.02133308695
850	0.02128947824
851	0.02125969674
852	0.02121274981
853	0.02116978847
854	0.02113685331
855	0.02111494904
856	0.02108665978
857	0.02104424194
858	0.02102723074
859	0.02099850171
860	0.0209742327
861	0.0209360824
862	0.02092745697
863	0.02087740884
864	0.02083803446
865	0.02079307025
866	0.0207695101
867	0.02074089912
868	0.02070205486
869	0.02066106667
870	0.02063328924
871	0.02060855161
872	0.02058713231
873	0.02056986219
874	0.0205564736
875	0.0205217773
876	0.0204966038
877	0.02046139922
878	0.0204133561
879	0.02038672748
880	0.02034531053
881	0.02030368515
882	0.02027021966
883	0.02024166138
884	0.0202117585
885	0.02018618689
886	0.0201559446
887	0.02011536293
888	0.02008829722
889	0.02004873492
890	0.02000207058
891	0.0199784625
892	0.01995457265
893	0.01992407569
894	0.01989049008
895	0.01986670209
896	0.01983636649
897	0.01980544453
898	0.01978738242
899	0.01976267897
900	0.01974474836
901	0.01970725352
902	0.01968448768
903	0.01963623578
904	0.01960838409
905	0.01958635956
906	0.01957275058
907	0.01955166352
908	0.01952734874
909	0.01949554238
910	0.01947549781
911	0.01943132496
912	0.01940229696
913	0.01937668071
914	0.01934528468
915	0.01931705359
916	0.01929143772
917	0.01927724307
918	0.01925204652
919	0.0192209297
920	0.01920009248
921	0.0191827955
922	0.01915529212
923	0.01913890579
924	0.01911770893
925	0.01909922959
926	0.0190572416
927	0.01904812298
928	0.01901622397
929	0.01898221644
930	0.01896172136
931	0.01894676597
932	0.01892184679
933	0.01890418225
934	0.01888002969
935	0.0188534913
936	0.01882996759
937	0.01880036627
938	0.01877684789
939	0.0187559959
940	0.01874694566
941	0.01872334505
942	0.01870350865
943	0.01868316349
944	0.01864963559
945	0.0186206698
946	0.01859414838
947	0.01857201429
948	0.01854437284
949	0.01851841152
950	0.01849412273
951	0.0184705703
952	0.01844279651
953	0.01842241632
954	0.01840205342
955	0.01838285174
956	0.01835936769
957	0.01832881036
958	0.0182957118
959	0.01825805971
960	0.0182330655
961	0.01820788792
962	0.01818401244
963	0.01816666418
964	0.01812949494
965	0.01811281712
966	0.01809124652
967	0.01806553217
968	0.01804234066
969	0.01802041312
970	0.01799891306
971	0.01797612806
972	0.01796726557
973	0.01794703322
974	0.01791046184
975	0.01787692684
976	0.01784879094
977	0.01781967239
978	0.01778702171
979	0.01776594598
980	0.01774242269
981	0.01771903842
982	0.0177012065
983	0.01768594564
984	0.01765922994
985	0.01763100326
986	0.01760345749
987	0.01757362286
988	0.01753486348
989	0.01750571556
990	0.01748480853
991	0.01746593918
992	0.01745493644
993	0.01742041563
994	0.01739632808
995	0.01737093315
996	0.01735337382
997	0.01732310435
998	0.01730033679
999	0.01729252913
