iter	Passed	Remaining
0	24	24013
1	49	24661
2	71	23662
3	102	25424
4	116	23169
5	138	22929
6	155	22124
7	173	21553
8	198	21844
9	217	21562
10	239	21531
11	261	21504
12	281	21406
13	301	21203
14	325	21385
15	356	21895
16	380	22006
17	403	22012
18	423	21865
19	453	22238
20	478	22297
21	496	22081
22	514	21838
23	532	21641
24	550	21467
25	569	21344
26	591	21311
27	616	21405
28	636	21327
29	658	21287
30	684	21399
31	705	21333
32	723	21211
33	749	21303
34	770	21244
35	791	21203
36	817	21267
37	840	21266
38	873	21521
39	904	21707
40	935	21880
41	966	22036
42	989	22023
43	1012	21991
44	1036	21998
45	1063	22050
46	1091	22133
47	1114	22099
48	1138	22087
49	1169	22227
50	1199	22313
51	1227	22384
52	1252	22370
53	1286	22542
54	1317	22644
55	1347	22722
56	1373	22727
57	1401	22760
58	1429	22804
59	1449	22706
60	1478	22757
61	1499	22689
62	1520	22607
63	1539	22517
64	1556	22390
65	1574	22278
66	1591	22155
67	1608	22047
68	1625	21934
69	1640	21797
70	1658	21695
71	1675	21594
72	1695	21529
73	1709	21388
74	1726	21296
75	1740	21162
76	1756	21052
77	1772	20949
78	1789	20859
79	1805	20760
80	1821	20661
81	1840	20601
82	1853	20481
83	1870	20394
84	1886	20309
85	1902	20223
86	1918	20133
87	1935	20056
88	1951	19973
89	1968	19902
90	1985	19833
91	2002	19767
92	2019	19696
93	2036	19631
94	2052	19553
95	2069	19489
96	2084	19404
97	2100	19333
98	2116	19263
99	2133	19201
100	2149	19135
101	2166	19071
102	2182	19010
103	2199	18949
104	2216	18891
105	2233	18838
106	2251	18790
107	2268	18739
108	2285	18686
109	2301	18622
110	2318	18568
111	2333	18498
112	2349	18443
113	2364	18380
114	2381	18324
115	2397	18272
116	2414	18222
117	2430	18170
118	2447	18118
119	2465	18077
120	2479	18012
121	2495	17962
122	2512	17915
123	2529	17869
124	2546	17824
125	2558	17745
126	2576	17711
127	2594	17672
128	2610	17623
129	2627	17582
130	2644	17539
131	2660	17492
132	2677	17452
133	2693	17407
134	2710	17369
135	2727	17329
136	2743	17283
137	2759	17239
138	2776	17198
139	2792	17155
140	2808	17111
141	2825	17072
142	2841	17030
143	2858	16994
144	2875	16954
145	2892	16919
146	2909	16881
147	2925	16841
148	2942	16807
149	2960	16773
150	2978	16744
151	2996	16717
152	3013	16683
153	3035	16677
154	3055	16659
155	3075	16640
156	3095	16622
157	3114	16597
158	3136	16592
159	3156	16572
160	3175	16545
161	3192	16514
162	3212	16494
163	3232	16475
164	3252	16457
165	3271	16436
166	3289	16410
167	3312	16402
168	3330	16375
169	3351	16361
170	3371	16345
171	3389	16317
172	3409	16297
173	3425	16259
174	3442	16230
175	3459	16197
176	3476	16164
177	3492	16129
178	3511	16104
179	3528	16075
180	3545	16044
181	3565	16025
182	3586	16011
183	3608	16000
184	3629	15991
185	3649	15971
186	3666	15941
187	3683	15907
188	3700	15876
189	3717	15848
190	3734	15819
191	3751	15788
192	3767	15754
193	3782	15712
194	3799	15683
195	3817	15658
196	3831	15618
197	3848	15590
198	3866	15562
199	3882	15530
200	3899	15499
201	3913	15461
202	3930	15430
203	3947	15404
204	3964	15373
205	3980	15341
206	3998	15316
207	4014	15287
208	4030	15252
209	4045	15219
210	4062	15191
211	4079	15162
212	4096	15135
213	4112	15105
214	4129	15078
215	4145	15047
216	4163	15022
217	4177	14986
218	4195	14960
219	4212	14935
220	4227	14899
221	4244	14875
222	4260	14845
223	4276	14814
224	4294	14793
